handle	kind	old_id	new_id	old_path	new_path	title
husig	TODO	TODO-001	TODO-husig	TODO/001-decomk-conf-cswg-readme.md	TODO/TODO-husig-decomk-conf-cswg-readme.md	Decomk Conf Cswg Readme
lusaz	TODO	TODO-002	TODO-lusaz	TODO/002-merge-legacy-confrepo.md	TODO/TODO-lusaz-merge-legacy-confrepo.md	Merge Legacy Confrepo
guvan	TODO	TODO-003	TODO-guvan	TODO/003-mob-consensus-gui-desktop.md	TODO/TODO-guvan-mob-consensus-gui-desktop.md	Mob Consensus Gui Desktop
fogup	TODO	TODO-004	TODO-fogup	TODO/004-mob-consensus-gui-stack.md	TODO/TODO-fogup-mob-consensus-gui-stack.md	Mob Consensus Gui Stack
sibak	TODO	TODO-005	TODO-sibak	TODO/005-channel-branch-rendering.md	TODO/TODO-sibak-channel-branch-rendering.md	channel branch rendering
nulum	TODO	TODO-006	TODO-nulum	TODO/006-release-image-script.md	TODO/TODO-nulum-release-image-script.md	release image script
hopun	TODO	TODO-007	TODO-hopun	TODO/007-apt-oci-cache.md	TODO/TODO-hopun-apt-oci-cache.md	apt-pin: use Ubuntu snapshots now, OCI cache later
riguz	TODO	TODO-008	TODO-riguz	TODO/008-selftest-codespaces-machine-fallback.md	TODO/TODO-riguz-selftest-codespaces-machine-fallback.md	Codespaces selftest machine fallback
sapan	TODO	TODO-009	TODO-sapan	TODO/009-oss-fetch-oci-cache.md	TODO/TODO-sapan-oss-fetch-oci-cache.md	Replace OSS CAD Suite wget fetch with OCI cache
rifol	TODO	TODO-010	TODO-rifol	TODO/010-makefile-script-boundary.md	TODO/TODO-rifol-makefile-script-boundary.md	Move non-trivial Makefile shell logic into bin scripts
dagij	TODO	TODO-011	TODO-dagij	TODO/011-fix-runit-gui-service-detection.md	TODO/TODO-dagij-fix-runit-gui-service-detection.md	Fix runit GUI service-name detection
gopof	TODO	TODO-012	TODO-gopof	TODO/012-block20-gui-baseline.md	TODO/TODO-gopof-block20-gui-baseline.md	Build Block20 with baseline GUI desktop
tozoh	TODO	TODO-013	TODO-tozoh	TODO/013-gui-runtime-selftest.md	TODO/TODO-tozoh-gui-runtime-selftest.md	Add GUI runtime Codespaces selftest
fivis	TE	TE-20260513-180434	TE-fivis	docs/thought-experiments/TE-20260513-180434-apt-pin-cache-authority.md	docs/thought-experiments/TE-fivis-apt-pin-cache-authority.md	apt-pin cache authority and first-run behavior
galan	TE	TE-20260518-054020	TE-galan	docs/thought-experiments/TE-20260518-054020-gui-selftest-entrypoint.md	docs/thought-experiments/TE-galan-gui-selftest-entrypoint.md	GUI Runtime Selftest Entrypoint
potir	DI	DI-001-20260422-192624	DI-potir	TODO/001-decomk-conf-cswg-readme.md#DI-001-20260422-192624	TODO/TODO-husig-decomk-conf-cswg-readme.md#DI-potir	Align README identity to `decomk-conf-cswg` and replace version-change guidance with an append-only Makefile/decomk.conf policy.
jagav	DI	DI-001-20260423-194216	DI-jagav	TODO/001-decomk-conf-cswg-readme.md#DI-001-20260423-194216	TODO/TODO-husig-decomk-conf-cswg-readme.md#DI-jagav	Make README generic and low-churn; remove repo-specific config mirrors so README does not require routine updates after `decomk init-conf`.
vusag	DI	DI-002-20260423-182418	DI-vusag	TODO/002-merge-legacy-confrepo.md#DI-002-20260423-182418	TODO/TODO-lusaz-merge-legacy-confrepo.md#DI-vusag	Merge legacy `old/*` operational content into the current `decomk init-conf` scaffold while preserving the current decomk stage-0 and tuple-only policy model.
dudam	DI	DI-002-20260423-183647	DI-dudam	TODO/002-merge-legacy-confrepo.md#DI-002-20260423-183647	TODO/TODO-lusaz-merge-legacy-confrepo.md#DI-dudam	Remove `DECOMK_STAGE0_PHASE` mismatch guards from `updateContent` and `postCreate` targets.
sidat	DI	DI-002-20260423-184207	DI-sidat	TODO/002-merge-legacy-confrepo.md#DI-002-20260423-184207	TODO/TODO-lusaz-merge-legacy-confrepo.md#DI-sidat	Replace monolithic pinned `TOOLS` install recipe with one versioned apt target stanza per package and wire those versioned targets into `Block10`.
matik	DI	DI-002-20260423-185531	DI-matik	TODO/002-merge-legacy-confrepo.md#DI-002-20260423-185531	TODO/TODO-lusaz-merge-legacy-confrepo.md#DI-matik	Keep simple versioned apt package install target names lowercase (for example `apt_vim_...`) instead of uppercase `APT_*`.
bunim	DI	DI-002-20260423-192405	DI-bunim	TODO/002-merge-legacy-confrepo.md#DI-002-20260423-192405	TODO/TODO-lusaz-merge-legacy-confrepo.md#DI-bunim	Remove `apt_` prefix from simple package install targets, align post-create user target naming to `PostCreateUser`, and replace `GO`/`PYTHON` env-manager targets with versioned distro package targets.
zonov	DI	DI-002-20260423-192931	DI-zonov	TODO/002-merge-legacy-confrepo.md#DI-002-20260423-192931	TODO/TODO-lusaz-merge-legacy-confrepo.md#DI-zonov	Rename post-create user evidence target from `PostCreateUser` to `postCreateUserDemo`.
